Run Order,Run Date,Location,Name,Location ,Broad Location,Group,Year,Number,C13,O18,Li(7)/Ca,Na(23)/Ca,Mg(24)/Ca,Mn(55)/Ca,Fe(57)/Ca,Cu(63)/Ca,Cu(65)/Ca,Zn(66)/Ca,Zn(68)/Ca,Sr(88)/Ca,Ag(107)/Ca,Cd(111)/Ca,Ba(137)/Ca,Pb(208)/Ca
54,43124,Manhasset,112,14,SNE,2,2016,11,-3.2,31.5,1.30354E-06,0.02129899,#VALUE!,2.22146E-05,#VALUE!,7.30913E-05,6.05182E-05,-0.000324549,-0.000280193,0.007495504,3.24792E-07,#VALUE!,#VALUE!,#VALUE!
70,43124,Manhasset,113,14,SNE,2,2016,12,-3.4,31.6,1.2173E-06,0.015333943,0.000231758,1.39415E-05,#VALUE!,8.69507E-05,7.18388E-05,-0.000371268,-0.000321023,0.007120474,4.67373E-07,#VALUE!,#VALUE!,#VALUE!
76,43124,Manhasset,114,14,SNE,2,2016,15,-3.2,30.1,1.97603E-06,0.012047736,#VALUE!,1.02136E-05,#VALUE!,7.00795E-05,5.75155E-05,-0.000304104,-0.00026274,0.007036858,3.83322E-07,#VALUE!,#VALUE!,#VALUE!
78,43124,Manhasset,115,14,SNE,2,2016,19,-3.9,31.5,1.25969E-06,0.012553964,#VALUE!,1.49041E-05,#VALUE!,7.74952E-05,6.36137E-05,-0.00033409,-0.000288955,0.006632088,2.72252E-07,#VALUE!,#VALUE!,#VALUE!
66,43124,Manhasset,116,14,SNE,2,2016,22,-3.4,31.4,1.34674E-06,0.011960481,#VALUE!,1.52782E-05,#VALUE!,6.6414E-05,5.48802E-05,-0.000289327,-0.000250088,0.00647007,2.54338E-07,#VALUE!,#VALUE!,#VALUE!
44,43124,Manhasset,117,14,SNE,2,2016,23,-2.6,31.0,1.42698E-06,0.012992771,#VALUE!,3.28203E-05,#VALUE!,7.04994E-05,5.79369E-05,#VALUE!,#VALUE!,0.007393108,2.07847E-07,#VALUE!,#VALUE!,#VALUE!
81,43124,Oyster Bay,150,15,SNE,2,2016,49,-3.6,31.3,1.33663E-06,0.013295672,#VALUE!,6.17644E-05,#VALUE!,8.11714E-05,6.89642E-05,-0.000302984,-0.000261837,0.00665583,4.18253E-07,#VALUE!,#VALUE!,#VALUE!
49,43124,Oyster Bay,151,15,SNE,2,2016,52,,,1.39605E-06,0.014542503,#VALUE!,6.77712E-05,#VALUE!,9.79753E-05,8.10663E-05,-0.000410535,-0.000354663,0.007315859,6.30765E-07,#VALUE!,#VALUE!,#VALUE!
67,43124,Oyster Bay,152,15,SNE,2,2016,53,-3.8,31.2,1.35387E-06,0.013262511,0.000154829,4.92808E-05,#VALUE!,6.95164E-05,5.80466E-05,-0.000284653,-0.000247019,0.006855205,2.32152E-07,#VALUE!,#VALUE!,#VALUE!
68,43124,Oyster Bay,153,15,SNE,2,2016,56,-4.0,31.1,1.30194E-06,0.012547017,#VALUE!,0.000358815,#VALUE!,7.26288E-05,5.93855E-05,-0.000312017,-0.000269426,0.006700012,8.65213E-07,#VALUE!,#VALUE!,#VALUE!
